"","variable","var_label","var_type","reference_row","row_type","header_row","N_obs","N_event","N","coefficients_type","coefficients_label","label","term","var_class","var_nlevels","contrasts","contrasts_type","n_obs","n_ind","n_event","exposure","estimate","std.error","statistic","nevent","ci","conf.low","conf.high","p.value"
"1","Row_mode == ""high""","Row_mode == ""high""","dichotomous",NA,"label",TRUE,279,140,279,"prop_hazard","HR","Row_mode == ""high""",NA,"logical",2,"contr.treatment","treatment",NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA
"2","Row_mode == ""high""","Row_mode == ""high""","dichotomous",TRUE,"level",FALSE,279,140,279,"prop_hazard","HR","FALSE","Row_mode == ""high""FALSE","logical",2,"contr.treatment","treatment",138,138,49,503.594798083504,NA,NA,NA,140,"—",NA,NA,NA
"3","Row_mode == ""high""","Row_mode == ""high""","dichotomous",FALSE,"level",FALSE,279,140,279,"prop_hazard","HR","TRUE","Row_mode == ""high""TRUE","logical",2,"contr.treatment","treatment",141,141,91,282.182067077344,3.1517412344462,0.183741845631173,6.24765180197045,140,"2.20,  4.52",2.19861512400669,4.51805898196771,4.16669258685403e-10
